publish_date,author,title,blurb,source,link,location_name,address,longitude,latitude
6/8/20,Jonathan Maus,Four rides to support Black lives,If you’ve been to one of the protests in Portland you’ve seen that the number of people on bikes is growing each night. Now community leaders have planned several bike rides that will amplify and/or spin-off the protests.,BikePortland,https://bikeportland.org/2020/06/08/four-rides-to-support-black-lives-316434,Irving Park,"707 NE Fremont St, Portland, OR 97212",-122.656861,45.547262
6/8/20,Kristian Foden-Vencil,People Are Struggling To Mourn Loved Ones Amid Pandemic Regulations,"A few weeks into the coronavirus quarantine, Jan Stewart’s younger sister Tammy Stewart started suffering strange symptoms, like she couldn’t breathe. She ended up at Kaiser Sunnyside Hospital in Clackamas with COVID-19.",OPB,https://www.opb.org/news/article/funerals-coronavirus-oregon-grief-mental-health/,Kaiser Permanente Sunnyside Medical Center,"10180 SE Sunnyside Rd, Clackamas, OR 97015",-122.560209,45.431476
6/8/20,WW Staff,Portland-Based Mercy Corps Is Monitoring COVID-19 Infections in Developing Nations. But Good Data Is Hard to Come By.,"Interim CEO Beth deHamel is concerned about the impact of the virus in places like Central America, Afghanistan and refugee camps.",Willamette Week,https://www.wweek.com/news/2020/06/08/portland-based-mercy-corps-is-monitoring-covid-19-infections-in-developing-nations-but-getting-data-is-not-easy/,Mercy Corps,"45 SW Ankeny St, Portland, OR 97204",-122.670808,45.522655
6/8/20,Michael Russell,Another top Portland brunch restaurant calls it quits,"Trinket, the cozy César E. Chávez Boulevard restaurant known for its veggie hash and duck eggs Benedict, will close permanently, owner Gina Helvie announced in an Instagram video Saturday.",The Oregonian,https://www.oregonlive.com/dining/2020/06/trinket-another-top-portland-brunch-restaurant-calls-it-quits.html,Trinket,"2035 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",-122.622934,45.508236
6/6/20,Latisha Jensen,A WW Delivery Driver Says Police Detained Him as He Restocked Newspaper Boxes in Downtown Portland,"“Stop right there, get on your knees!” Greg Mitchell recalls the officer saying. “Put your hands up!”",Willamette Week,https://www.wweek.com/news/2020/06/06/ww-delivery-driver-says-police-detained-him-while-he-was-restocking-newspaper-boxes-in-downtown-portland/,,Southwest 6th Avenue and Alder Street,-122.678295,45.519745
6/7/20,Rachel Monahan and Aaron Mesh,Portland Reporter Pens First-Person Account of Being Pepper-Sprayed While Filming an Arrest,"Donovan Farley, a longtime contributor to WW’s Arts & Culture section, says he was filming an arrest when he was pepper-sprayed in the eyes.",Willamette Week,https://www.wweek.com/news/city/2020/06/07/portland-reporter-pens-first-person-account-of-being-pepper-sprayed-while-filming-an-arrest/,Chapman Square,Chapman Square,-122.677672,45.515394
6/3/20,Nigel Jaquiss,City of Portland Drops Opposition to More Frequent Free Meal Distribution in City Parks,The group Free Hot Soup claims victory in its legal battle to serve the hungry.,Willamette Week,https://www.wweek.com/news/2020/06/03/city-of-portland-drops-opposition-to-more-frequent-free-meal-distribution-in-city-parks/,Director Park,"815 SW Park Ave, Portland, OR 97205",-122.681462,45.518683
6/8/20,Meerah Powell,Beauty And Aesthetics Workers Navigate Returning To Work Amid Coronavirus,"Ceanna Lee is going back to work at her salon, MODA Studios, in Beaverton.",OPB,https://www.opb.org/news/article/hair-salon-tattoo-spa-beauty-coronavirus-reopen-portland-oregon/,MODA Studios,"16300 SW Hart Rd, Beaverton, OR 97007",-122.844722,45.464984
6/3/20,"By Rachel Monahan, Tess Riski, and Latisha Jensen",Protests and Riots Fill the Streets of Portland. Four Black Leaders Are Trying to Bring Meaning to the Anguish.,"What makes this moment so perilous and important is, we simply don’t know how long it will last or what it will mean. So we asked four black leaders at the center of the struggle.",Willamette Week,https://www.wweek.com/news/2020/06/03/protests-and-riots-fill-the-streets-of-portland-four-black-leaders-are-trying-to-bring-meaning-to-the-anguish/,Peninsula Park,"700 N Rosa Parks Way, Portland, OR 97217",-122.673492,45.567936
6/8/20,Shannon Gormley,Portland’s Japanese Garden Will Reopen This Week,"One of Portland's biggest tourist attractions, the Japanese Garden had to lay off 90 percent of its employees when it shut down in March.",Willamette Week,https://www.wweek.com/culture/2020/06/08/portlands-japanese-garden-will-reopen-this-week/,Japanese Garden,"611 SW Kingston Ave, Portland, OR 97205",-122.706755,45.519387